title,category,viral_score
Why Your Brain Replays Cringe Moments At Night,Psychology,9.9
Why You Suddenly Notice Your Own Breathing,Psychology,9.6
Why You Forget Names Two Seconds After Hearing Them,Psychology,9.7
Why You Reread The Same Line Five Times,Psychology,9.7
Why You Check Your Phone The Second It's In Your Pocket,Psychology,10.0
Why You Always Pick The Slowest Line,Psychology,9.0
Why You Feel Watched When Nobody's There,Psychology,9.9
Why You Hear Your Name In A Crowded Room,Psychology,9.9
Why You Can't Tickle Yourself,Psychology,9.7
Why Time Speeds Up As You Get Older,Psychology,8.9
Why You Wake Up Right Before Your Alarm,Psychology,9.7
Why You Forget Your Dreams Instantly,Psychology,9.1
Why You Remember Songs But Forget Facts,Psychology,9.4
Why You Trust Confident People More,Psychology,9.5
Why You Believe The First Price You See,Psychology,9.0
Why You Think Everyone's Looking At You,Psychology,9.9
Why You Laugh When You're Nervous,Psychology,9.3
Why You Yawn When You See Someone Yawn,Psychology,9.5
Why You Feel Time Slow Down In A Crash,Psychology,9.7
Why You Can't Remember Faces But Never Forget Eyes,Psychology,9.2
Why You Avoid Stepping On Cracks,Psychology,10.0
Why You Replay Arguments Hours Later,Psychology,9.2
Why You Want What You Can't Have,Psychology,9.1
Why You Do The Opposite When Told What To Do,Psychology,9.5
Why You Feel Smarter After Agreeing With Someone,Psychology,9.5
Why You Notice The Same Number Everywhere,Psychology,10.0
Why You See Faces In Random Objects,Psychology,9.1
Why You Trust Round Numbers Less Than Odd Ones,Psychology,9.8
Why You Remember The Start And End But Not The Middle,Psychology,9.3
Why You Feel Déjà Vu,Psychology,9.6
Why You Can't Stop Watching A Car Crash,Psychology,9.4
Why You Feel Lonelier In A Crowd,Psychology,9.2
Why You Believe Something More When It's Repeated,Psychology,9.8
Why You Judge A Book By Its First Sentence,Psychology,9.3
Why You Feel Time Drag When You're Bored,Psychology,9.2
Why You Remember Embarrassment Forever,Psychology,9.5
Why You Think You're Above Average At Everything,Psychology,9.5
Why You Defend Bad Decisions You Already Made,Psychology,9.5
Why You Mishear Lyrics The Same Way Every Time,Psychology,9.8
Why You Feel Your Phone Vibrate When It Didn't,Psychology,9.5
Why Milk Is Always At The Back Of The Store,Shopping,8.7
Why Everything Is Priced Ending In 99 Cents,Shopping,9.0
Why Candy Is Right At The Checkout,Shopping,9.1
Why Supermarkets Rearrange The Aisles,Shopping,8.9
Why Stores Pump In A Specific Smell,Shopping,9.0
Why Shopping Carts Keep Getting Bigger,Shopping,9.1
Why The Most Expensive Items Are At Eye Level,Shopping,9.2
Why Stores Play Slow Music,Shopping,9.0
Why Luxury Stores Keep Almost Nothing On The Shelves,Shopping,8.6
Why Sale Signs Are Always Red,Shopping,9.0
Why The Entrance Is Always On The Right,Shopping,9.3
Why Free Samples Make You Buy More,Shopping,9.3
Why The Floor Changes Texture Near Deals,Shopping,8.9
Why There Are No Clocks In A Mall,Shopping,9.3
Why Checkout Lines Are Lined With Magazines,Shopping,8.8
Why Bigger Sizes Cost Barely More,Shopping,9.6
Why Stores Hide The Cheapest Option,Shopping,9.2
Why The Bakery Is Near The Door,Shopping,9.5
Why Limited Time Offers Feel Urgent,Shopping,9.3
